h,h_p,lambda,gamma,run_index,active_set,majority
0.5,0.5,0.0,0.1,0,1174.806,935.405
0.5,0.5,0.0,0.1,1,1176.829,944.7
0.5,0.5,0.0,0.1,2,1197.619,945.908
0.5,0.5,0.0,0.1,3,1207.499,956.581
0.5,0.5,0.0,0.1,4,1173.007,934.017
0.5,0.5,0.0,0.1,5,1228.186,969.022
0.5,0.5,0.0,0.1,6,1214.403,976.417
0.5,0.5,0.0,0.1,7,1217.192,971.941
0.5,0.5,0.0,0.1,8,1162.683,922.829
0.5,0.5,0.0,0.1,9,1183.184,948.325
0.5,0.5,0.0,0.2,0,1174.228,935.467
0.5,0.5,0.0,0.2,1,1176.159,945.079
0.5,0.5,0.0,0.2,2,1197.617,945.436
0.5,0.5,0.0,0.2,3,1207.993,957.566
0.5,0.5,0.0,0.2,4,1174.424,936.736
0.5,0.5,0.0,0.2,5,1230.061,974.46
0.5,0.5,0.0,0.2,6,1213.248,974.431
0.5,0.5,0.0,0.2,7,1218.549,971.841
0.5,0.5,0.0,0.2,8,1163.752,925.149
0.5,0.5,0.0,0.2,9,1184.461,949.446
0.5,0.5,0.0,0.3,0,1175.521,936.497
0.5,0.5,0.0,0.3,1,1175.169,943.05
0.5,0.5,0.0,0.3,2,1196.326,946.253
0.5,0.5,0.0,0.3,3,1207.088,954.322
0.5,0.5,0.0,0.3,4,1175.845,937.759
0.5,0.5,0.0,0.3,5,1229.629,970.586
0.5,0.5,0.0,0.3,6,1212.321,978.233
0.5,0.5,0.0,0.3,7,1216.579,969.944
0.5,0.5,0.0,0.3,8,1165.688,927.598
0.5,0.5,0.0,0.3,9,1185.141,952.236
0.5,0.5,0.0,0.4,0,1172.643,932.405
0.5,0.5,0.0,0.4,1,1174.327,943.026
0.5,0.5,0.0,0.4,2,1195.608,946.693
0.5,0.5,0.0,0.4,3,1206.839,956.004
0.5,0.5,0.0,0.4,4,1175.545,935.002
0.5,0.5,0.0,0.4,5,1230.595,975.464
0.5,0.5,0.0,0.4,6,1213.33,975.454
0.5,0.5,0.0,0.4,7,1219.069,975.296
0.5,0.5,0.0,0.4,8,1163.362,925.829
0.5,0.5,0.0,0.4,9,1185.785,950.39
0.5,0.5,0.0,0.5,0,1172.167,933.037
0.5,0.5,0.0,0.5,1,1178.34,945.516
0.5,0.5,0.0,0.5,2,1196.334,944.367
0.5,0.5,0.0,0.5,3,1207.12,956.253
0.5,0.5,0.0,0.5,4,1174.792,933.018
0.5,0.5,0.0,0.5,5,1228.835,969.946
0.5,0.5,0.0,0.5,6,1212.594,975.147
0.5,0.5,0.0,0.5,7,1218.308,971.689
0.5,0.5,0.0,0.5,8,1161.929,923.814
0.5,0.5,0.0,0.5,9,1184.407,952.629
0.5,0.5,0.0,0.6,0,1177.461,937.776
0.5,0.5,0.0,0.6,1,1173.567,942.04
0.5,0.5,0.0,0.6,2,1194.703,945.993
0.5,0.5,0.0,0.6,3,1207.323,955.562
0.5,0.5,0.0,0.6,4,1177.813,938.048
0.5,0.5,0.0,0.6,5,1228.647,970.591
0.5,0.5,0.0,0.6,6,1210.47,972.31
0.5,0.5,0.0,0.6,7,1218.733,969.708
0.5,0.5,0.0,0.6,8,1164.576,924.675
0.5,0.5,0.0,0.6,9,1185.718,949.865
0.5,0.5,0.0,0.7,0,1175.001,940.318
0.5,0.5,0.0,0.7,1,1174.405,942.535
0.5,0.5,0.0,0.7,2,1197.653,944.738
0.5,0.5,0.0,0.7,3,1206.724,953.195
0.5,0.5,0.0,0.7,4,1173.048,936.128
0.5,0.5,0.0,0.7,5,1229.112,971.722
0.5,0.5,0.0,0.7,6,1208.659,974.231
0.5,0.5,0.0,0.7,7,1218.209,972.62
0.5,0.5,0.0,0.7,8,1164.799,926.692
0.5,0.5,0.0,0.7,9,1185.408,952.286
0.5,0.5,0.0,0.8,0,1175.03,938.581
0.5,0.5,0.0,0.8,1,1176.424,945.838
0.5,0.5,0.0,0.8,2,1196.742,943.397
0.5,0.5,0.0,0.8,3,1205.819,953.99
0.5,0.5,0.0,0.8,4,1174.912,936.171
0.5,0.5,0.0,0.8,5,1228.682,974.564
0.5,0.5,0.0,0.8,6,1208.754,972.225
0.5,0.5,0.0,0.8,7,1217.555,970.152
0.5,0.5,0.0,0.8,8,1161.767,921.53
0.5,0.5,0.0,0.8,9,1186.724,953.821
0.5,0.5,0.0,0.9,0,1178.445,942.226
0.5,0.5,0.0,0.9,1,1175.231,945.337
0.5,0.5,0.0,0.9,2,1198.18,945.367
0.5,0.5,0.0,0.9,3,1205.763,953.281
0.5,0.5,0.0,0.9,4,1172.945,932.722
0.5,0.5,0.0,0.9,5,1232.992,975.638
0.5,0.5,0.0,0.9,6,1214.128,974.427
0.5,0.5,0.0,0.9,7,1218.135,971.574
0.5,0.5,0.0,0.9,8,1163.146,921.201
0.5,0.5,0.0,0.9,9,1185.635,952.665
0.5,0.5,0.2,0.1,0,1156.674,878.475
0.5,0.5,0.2,0.1,1,1159.358,890.829
0.5,0.5,0.2,0.1,2,1178.758,888.114
0.5,0.5,0.2,0.1,3,1190.558,899.26
0.5,0.5,0.2,0.1,4,1160.652,883.608
0.5,0.5,0.2,0.1,5,1209.929,914.332
0.5,0.5,0.2,0.1,6,1189.403,909.282
0.5,0.5,0.2,0.1,7,1199.771,918.13
0.5,0.5,0.2,0.1,8,1150.383,879.197
0.5,0.5,0.2,0.1,9,1170.017,897.941
0.5,0.5,0.2,0.2,0,1165.574,901.904
0.5,0.5,0.2,0.2,1,1168.056,910.613
0.5,0.5,0.2,0.2,2,1187.159,903.386
0.5,0.5,0.2,0.2,3,1197.071,916.148
0.5,0.5,0.2,0.2,4,1167.882,900.284
0.5,0.5,0.2,0.2,5,1220.529,933.752
0.5,0.5,0.2,0.2,6,1198.667,932.409
0.5,0.5,0.2,0.2,7,1210.069,937.202
0.5,0.5,0.2,0.2,8,1156.762,893.642
0.5,0.5,0.2,0.2,9,1180.426,920.208
0.5,0.5,0.2,0.3,0,1171.359,909.379
0.5,0.5,0.2,0.3,1,1169.117,914.002
0.5,0.5,0.2,0.3,2,1193.136,918.935
0.5,0.5,0.2,0.3,3,1198.719,922.104
0.5,0.5,0.2,0.3,4,1168.963,907.006
0.5,0.5,0.2,0.3,5,1224.151,946.528
0.5,0.5,0.2,0.3,6,1204.265,943.466
0.5,0.5,0.2,0.3,7,1211.668,945.148
0.5,0.5,0.2,0.3,8,1156.593,897.006
0.5,0.5,0.2,0.3,9,1178.07,920.393
0.5,0.5,0.2,0.4,0,1169.397,909.915
0.5,0.5,0.2,0.4,1,1171.401,920.693
0.5,0.5,0.2,0.4,2,1192.745,922.31
0.5,0.5,0.2,0.4,3,1206.545,941.469
0.5,0.5,0.2,0.4,4,1173.498,918.218
0.5,0.5,0.2,0.4,5,1226.326,953.05
0.5,0.5,0.2,0.4,6,1205.67,951.72
0.5,0.5,0.2,0.4,7,1215.211,954.752
0.5,0.5,0.2,0.4,8,1158.683,904.775
0.5,0.5,0.2,0.4,9,1184.169,932.922
0.5,0.5,0.2,0.5,0,1171.864,920.715
0.5,0.5,0.2,0.5,1,1174.669,929.805
0.5,0.5,0.2,0.5,2,1194.168,927.016
0.5,0.5,0.2,0.5,3,1203.593,943.375
0.5,0.5,0.2,0.5,4,1174.377,923.443
0.5,0.5,0.2,0.5,5,1228.636,960.902
0.5,0.5,0.2,0.5,6,1206.528,957.953
0.5,0.5,0.2,0.5,7,1216.941,960.971
0.5,0.5,0.2,0.5,8,1162.485,915.12
0.5,0.5,0.2,0.5,9,1182.493,936.774
0.5,0.5,0.2,0.6,0,1174.657,931.863
0.5,0.5,0.2,0.6,1,1176.22,932.779
0.5,0.5,0.2,0.6,2,1196.209,936.411
0.5,0.5,0.2,0.6,3,1202.957,947.782
0.5,0.5,0.2,0.6,4,1175.65,925.217
0.5,0.5,0.2,0.6,5,1225.661,958.437
0.5,0.5,0.2,0.6,6,1206.424,962.257
0.5,0.5,0.2,0.6,7,1217.408,965.688
0.5,0.5,0.2,0.6,8,1163.388,916.164
0.5,0.5,0.2,0.6,9,1182.919,940.24
0.5,0.5,0.2,0.7,0,1175.655,932.709
0.5,0.5,0.2,0.7,1,1174.436,939.365
0.5,0.5,0.2,0.7,2,1197.372,940.328
0.5,0.5,0.2,0.7,3,1208.053,955.937
0.5,0.5,0.2,0.7,4,1175.668,933.974
0.5,0.5,0.2,0.7,5,1228.793,967.344
0.5,0.5,0.2,0.7,6,1210.663,971.052
0.5,0.5,0.2,0.7,7,1217.007,969.275
0.5,0.5,0.2,0.7,8,1165.449,926.439
0.5,0.5,0.2,0.7,9,1187.28,946.57
0.5,0.5,0.2,0.8,0,1172.31,934.54
0.5,0.5,0.2,0.8,1,1176.202,944.579
0.5,0.5,0.2,0.8,2,1195.536,942.291
0.5,0.5,0.2,0.8,3,1206.924,957.27
0.5,0.5,0.2,0.8,4,1173.572,936.645
0.5,0.5,0.2,0.8,5,1230.018,973.843
0.5,0.5,0.2,0.8,6,1210.577,972.941
0.5,0.5,0.2,0.8,7,1218.384,975.211
0.5,0.5,0.2,0.8,8,1164.799,929.095
0.5,0.5,0.2,0.8,9,1186.296,950.414
0.5,0.5,0.2,0.9,0,1175.815,942.443
0.5,0.5,0.2,0.9,1,1175.015,948.602
0.5,0.5,0.2,0.9,2,1197.456,951.703
0.5,0.5,0.2,0.9,3,1204.547,958.172
0.5,0.5,0.2,0.9,4,1174.253,941.247
0.5,0.5,0.2,0.9,5,1225.796,978.686
0.5,0.5,0.2,0.9,6,1210.531,974.772
0.5,0.5,0.2,0.9,7,1218.168,975.881
0.5,0.5,0.2,0.9,8,1164.572,929.001
0.5,0.5,0.2,0.9,9,1183.524,956.425
0.5,0.5,0.5,0.1,0,1107.101,795.603
0.5,0.5,0.5,0.1,1,1117.909,818.72
0.5,0.5,0.5,0.1,2,1145.689,824.622
0.5,0.5,0.5,0.1,3,1145.102,822.987
0.5,0.5,0.5,0.1,4,1108.323,797.297
0.5,0.5,0.5,0.1,5,1169.54,843.141
0.5,0.5,0.5,0.1,6,1141.941,826.608
0.5,0.5,0.5,0.1,7,1151.025,833.983
0.5,0.5,0.5,0.1,8,1104.744,800.641
0.5,0.5,0.5,0.1,9,1122.594,818.688
0.5,0.5,0.5,0.2,0,1140.432,848.707
0.5,0.5,0.5,0.2,1,1134.471,847.644
0.5,0.5,0.5,0.2,2,1162.001,853.386
0.5,0.5,0.5,0.2,3,1174.882,869.003
0.5,0.5,0.5,0.2,4,1137.787,843.681
0.5,0.5,0.5,0.2,5,1193.91,883.3
0.5,0.5,0.5,0.2,6,1165.529,865.101
0.5,0.5,0.5,0.2,7,1179.972,880.557
0.5,0.5,0.5,0.2,8,1128.915,838.242
0.5,0.5,0.5,0.2,9,1152.381,864.891
0.5,0.5,0.5,0.3,0,1153.8,873.666
0.5,0.5,0.5,0.3,1,1157.248,885.533
0.5,0.5,0.5,0.3,2,1173.794,877.636
0.5,0.5,0.5,0.3,3,1184.367,888.154
0.5,0.5,0.5,0.3,4,1155.648,875.134
0.5,0.5,0.5,0.3,5,1206.582,910.117
0.5,0.5,0.5,0.3,6,1185.01,898.46
0.5,0.5,0.5,0.3,7,1197.644,912.982
0.5,0.5,0.5,0.3,8,1147.021,873.005
0.5,0.5,0.5,0.3,9,1163.891,890.383
0.5,0.5,0.5,0.4,0,1166.894,896.874
0.5,0.5,0.5,0.4,1,1166.756,904.33
0.5,0.5,0.5,0.4,2,1185.742,900.824
0.5,0.5,0.5,0.4,3,1189.573,904.144
0.5,0.5,0.5,0.4,4,1164.824,896.0
0.5,0.5,0.5,0.4,5,1217.872,931.178
0.5,0.5,0.5,0.4,6,1189.652,915.969
0.5,0.5,0.5,0.4,7,1206.246,928.985
0.5,0.5,0.5,0.4,8,1153.882,887.897
0.5,0.5,0.5,0.4,9,1173.491,906.437
0.5,0.5,0.5,0.5,0,1171.313,909.322
0.5,0.5,0.5,0.5,1,1168.643,914.445
0.5,0.5,0.5,0.5,2,1189.912,914.75
0.5,0.5,0.5,0.5,3,1200.877,924.522
0.5,0.5,0.5,0.5,4,1168.973,907.343
0.5,0.5,0.5,0.5,5,1223.825,942.573
0.5,0.5,0.5,0.5,6,1204.066,943.974
0.5,0.5,0.5,0.5,7,1209.99,939.416
0.5,0.5,0.5,0.5,8,1156.682,898.937
0.5,0.5,0.5,0.5,9,1181.187,924.277
0.5,0.5,0.5,0.6,0,1172.364,917.246
0.5,0.5,0.5,0.6,1,1173.789,925.304
0.5,0.5,0.5,0.6,2,1194.383,931.41
0.5,0.5,0.5,0.6,3,1205.1,939.014
0.5,0.5,0.5,0.6,4,1172.364,917.791
0.5,0.5,0.5,0.6,5,1226.843,956.809
0.5,0.5,0.5,0.6,6,1204.265,951.865
0.5,0.5,0.5,0.6,7,1212.608,948.354
0.5,0.5,0.5,0.6,8,1160.107,906.885
0.5,0.5,0.5,0.6,9,1181.85,930.563
0.5,0.5,0.5,0.7,0,1175.247,927.924
0.5,0.5,0.5,0.7,1,1177.042,937.808
0.5,0.5,0.5,0.7,2,1196.552,940.278
0.5,0.5,0.5,0.7,3,1206.448,948.456
0.5,0.5,0.5,0.7,4,1173.5,928.088
0.5,0.5,0.5,0.7,5,1228.494,965.575
0.5,0.5,0.5,0.7,6,1207.638,964.735
0.5,0.5,0.5,0.7,7,1215.949,962.942
0.5,0.5,0.5,0.7,8,1163.45,919.89
0.5,0.5,0.5,0.7,9,1184.689,944.36
0.5,0.5,0.5,0.8,0,1174.001,932.8
0.5,0.5,0.5,0.8,1,1175.283,943.913
0.5,0.5,0.5,0.8,2,1197.809,946.889
0.5,0.5,0.5,0.8,3,1205.763,955.429
0.5,0.5,0.5,0.8,4,1176.004,934.338
0.5,0.5,0.5,0.8,5,1227.157,973.8
0.5,0.5,0.5,0.8,6,1210.035,974.287
0.5,0.5,0.5,0.8,7,1217.577,972.309
0.5,0.5,0.5,0.8,8,1165.121,930.269
0.5,0.5,0.5,0.8,9,1186.248,955.608
0.5,0.5,0.5,0.9,0,1172.527,942.823
0.5,0.5,0.5,0.9,1,1173.522,951.122
0.5,0.5,0.5,0.9,2,1195.938,957.742
0.5,0.5,0.5,0.9,3,1207.19,964.487
0.5,0.5,0.5,0.9,4,1173.868,944.768
0.5,0.5,0.5,0.9,5,1227.152,984.652
0.5,0.5,0.5,0.9,6,1207.605,978.029
0.5,0.5,0.5,0.9,7,1217.27,977.855
0.5,0.5,0.5,0.9,8,1162.291,932.927
0.5,0.5,0.5,0.9,9,1183.624,961.161
0.5,0.5,0.8,0.1,0,1072.519,746.9
0.5,0.5,0.8,0.1,1,1080.255,765.282
0.5,0.5,0.8,0.1,2,1117.56,784.984
0.5,0.5,0.8,0.1,3,1112.976,777.04
0.5,0.5,0.8,0.1,4,1076.792,752.977
0.5,0.5,0.8,0.1,5,1134.27,794.863
0.5,0.5,0.8,0.1,6,1097.556,764.056
0.5,0.5,0.8,0.1,7,1116.434,785.414
0.5,0.5,0.8,0.1,8,1063.422,741.796
0.5,0.5,0.8,0.1,9,1074.33,753.502
0.5,0.5,0.8,0.2,0,1112.633,804.072
0.5,0.5,0.8,0.2,1,1117.293,818.083
0.5,0.5,0.8,0.2,2,1145.848,826.713
0.5,0.5,0.8,0.2,3,1151.604,829.25
0.5,0.5,0.8,0.2,4,1114.208,807.397
0.5,0.5,0.8,0.2,5,1173.218,847.288
0.5,0.5,0.8,0.2,6,1144.429,831.576
0.5,0.5,0.8,0.2,7,1156.36,841.737
0.5,0.5,0.8,0.2,8,1106.165,800.914
0.5,0.5,0.8,0.2,9,1129.668,829.391
0.5,0.5,0.8,0.3,0,1139.081,847.212
0.5,0.5,0.8,0.3,1,1137.527,850.151
0.5,0.5,0.8,0.3,2,1161.132,850.211
0.5,0.5,0.8,0.3,3,1168.507,860.922
0.5,0.5,0.8,0.3,4,1138.233,846.478
0.5,0.5,0.8,0.3,5,1197.761,890.311
0.5,0.5,0.8,0.3,6,1169.121,870.288
0.5,0.5,0.8,0.3,7,1181.847,880.81
0.5,0.5,0.8,0.3,8,1125.535,833.984
0.5,0.5,0.8,0.3,9,1149.003,860.975
0.5,0.5,0.8,0.4,0,1154.852,874.064
0.5,0.5,0.8,0.4,1,1155.794,880.966
0.5,0.5,0.8,0.4,2,1175.978,878.899
0.5,0.5,0.8,0.4,3,1184.149,887.623
0.5,0.5,0.8,0.4,4,1156.841,879.13
0.5,0.5,0.8,0.4,5,1210.797,915.269
0.5,0.5,0.8,0.4,6,1186.179,902.621
0.5,0.5,0.8,0.4,7,1196.293,910.379
0.5,0.5,0.8,0.4,8,1144.578,869.058
0.5,0.5,0.8,0.4,9,1165.879,892.861
0.5,0.5,0.8,0.5,0,1160.095,892.643
0.5,0.5,0.8,0.5,1,1166.209,906.009
0.5,0.5,0.8,0.5,2,1186.53,901.64
0.5,0.5,0.8,0.5,3,1193.393,908.895
0.5,0.5,0.8,0.5,4,1162.604,894.703
0.5,0.5,0.8,0.5,5,1220.216,933.407
0.5,0.5,0.8,0.5,6,1198.722,928.34
0.5,0.5,0.8,0.5,7,1208.062,931.223
0.5,0.5,0.8,0.5,8,1153.891,890.604
0.5,0.5,0.8,0.5,9,1174.684,911.554
0.5,0.5,0.8,0.6,0,1167.705,907.65
0.5,0.5,0.8,0.6,1,1170.354,914.327
0.5,0.5,0.8,0.6,2,1194.227,924.43
0.5,0.5,0.8,0.6,3,1199.858,928.566
0.5,0.5,0.8,0.6,4,1169.087,907.565
0.5,0.5,0.8,0.6,5,1225.155,945.942
0.5,0.5,0.8,0.6,6,1205.478,945.932
0.5,0.5,0.8,0.6,7,1211.094,944.19
0.5,0.5,0.8,0.6,8,1157.386,899.877
0.5,0.5,0.8,0.6,9,1180.037,925.897
0.5,0.5,0.8,0.7,0,1173.209,923.419
0.5,0.5,0.8,0.7,1,1173.617,929.372
0.5,0.5,0.8,0.7,2,1199.135,940.819
0.5,0.5,0.8,0.7,3,1206.767,944.687
0.5,0.5,0.8,0.7,4,1174.229,924.983
0.5,0.5,0.8,0.7,5,1224.155,956.164
0.5,0.5,0.8,0.7,6,1210.402,964.399
0.5,0.5,0.8,0.7,7,1215.904,958.277
0.5,0.5,0.8,0.7,8,1164.113,916.969
0.5,0.5,0.8,0.7,9,1184.236,939.43
0.5,0.5,0.8,0.8,0,1172.827,933.624
0.5,0.5,0.8,0.8,1,1175.83,943.787
0.5,0.5,0.8,0.8,2,1194.975,944.092
0.5,0.5,0.8,0.8,3,1206.968,956.874
0.5,0.5,0.8,0.8,4,1174.341,935.292
0.5,0.5,0.8,0.8,5,1230.663,972.895
0.5,0.5,0.8,0.8,6,1210.511,972.554
0.5,0.5,0.8,0.8,7,1219.451,973.743
0.5,0.5,0.8,0.8,8,1164.17,925.495
0.5,0.5,0.8,0.8,9,1185.854,950.898
0.5,0.5,0.8,0.9,0,1172.008,949.059
0.5,0.5,0.8,0.9,1,1175.141,952.917
0.5,0.5,0.8,0.9,2,1194.298,958.173
0.5,0.5,0.8,0.9,3,1207.167,966.579
0.5,0.5,0.8,0.9,4,1170.909,945.309
0.5,0.5,0.8,0.9,5,1226.489,984.54
0.5,0.5,0.8,0.9,6,1212.356,984.093
0.5,0.5,0.8,0.9,7,1216.301,978.352
0.5,0.5,0.8,0.9,8,1161.236,933.743
0.5,0.5,0.8,0.9,9,1182.88,962.442
0.5,0.5,1.0,0.1,0,1066.241,736.946
0.5,0.5,1.0,0.1,1,1056.343,734.065
0.5,0.5,1.0,0.1,2,1095.813,758.037
0.5,0.5,1.0,0.1,3,1087.497,744.822
0.5,0.5,1.0,0.1,4,1056.025,724.927
0.5,0.5,1.0,0.1,5,1114.225,769.19
0.5,0.5,1.0,0.1,6,1073.019,732.569
0.5,0.5,1.0,0.1,7,1097.54,760.818
0.5,0.5,1.0,0.1,8,1050.998,723.797
0.5,0.5,1.0,0.1,9,1070.393,745.918
0.5,0.5,1.0,0.2,0,1102.992,787.562
0.5,0.5,1.0,0.2,1,1111.749,809.33
0.5,0.5,1.0,0.2,2,1139.786,816.65
0.5,0.5,1.0,0.2,3,1135.468,808.227
0.5,0.5,1.0,0.2,4,1102.895,787.569
0.5,0.5,1.0,0.2,5,1160.649,831.838
0.5,0.5,1.0,0.2,6,1128.392,807.69
0.5,0.5,1.0,0.2,7,1144.322,823.287
0.5,0.5,1.0,0.2,8,1096.669,786.575
0.5,0.5,1.0,0.2,9,1115.515,809.028
0.5,0.5,1.0,0.3,0,1128.496,829.951
0.5,0.5,1.0,0.3,1,1128.926,835.896
0.5,0.5,1.0,0.3,2,1154.573,840.805
0.5,0.5,1.0,0.3,3,1166.474,856.409
0.5,0.5,1.0,0.3,4,1128.605,829.511
0.5,0.5,1.0,0.3,5,1187.742,871.159
0.5,0.5,1.0,0.3,6,1156.839,852.06
0.5,0.5,1.0,0.3,7,1173.95,867.6
0.5,0.5,1.0,0.3,8,1121.733,827.36
0.5,0.5,1.0,0.3,9,1140.27,847.987
0.5,0.5,1.0,0.4,0,1153.555,871.037
0.5,0.5,1.0,0.4,1,1153.639,876.98
0.5,0.5,1.0,0.4,2,1171.951,870.25
0.5,0.5,1.0,0.4,3,1182.312,880.656
0.5,0.5,1.0,0.4,4,1152.346,869.01
0.5,0.5,1.0,0.4,5,1203.593,900.251
0.5,0.5,1.0,0.4,6,1174.065,881.506
0.5,0.5,1.0,0.4,7,1194.978,905.098
0.5,0.5,1.0,0.4,8,1139.48,858.146
0.5,0.5,1.0,0.4,9,1161.368,882.91
0.5,0.5,1.0,0.5,0,1158.776,886.465
0.5,0.5,1.0,0.5,1,1166.845,903.987
0.5,0.5,1.0,0.5,2,1184.662,895.672
0.5,0.5,1.0,0.5,3,1191.911,905.661
0.5,0.5,1.0,0.5,4,1162.157,891.796
0.5,0.5,1.0,0.5,5,1215.297,924.303
0.5,0.5,1.0,0.5,6,1194.122,918.752
0.5,0.5,1.0,0.5,7,1208.316,931.322
0.5,0.5,1.0,0.5,8,1151.232,882.787
0.5,0.5,1.0,0.5,9,1170.438,900.187
0.5,0.5,1.0,0.6,0,1168.229,905.955
0.5,0.5,1.0,0.6,1,1166.485,909.772
0.5,0.5,1.0,0.6,2,1193.537,920.178
0.5,0.5,1.0,0.6,3,1199.497,922.645
0.5,0.5,1.0,0.6,4,1169.151,908.891
0.5,0.5,1.0,0.6,5,1224.486,947.203
0.5,0.5,1.0,0.6,6,1204.155,941.131
0.5,0.5,1.0,0.6,7,1212.434,944.005
0.5,0.5,1.0,0.6,8,1160.02,900.949
0.5,0.5,1.0,0.6,9,1179.48,922.827
0.5,0.5,1.0,0.7,0,1171.199,921.561
0.5,0.5,1.0,0.7,1,1169.922,925.686
0.5,0.5,1.0,0.7,2,1195.079,931.789
0.5,0.5,1.0,0.7,3,1203.759,944.534
0.5,0.5,1.0,0.7,4,1171.717,918.202
0.5,0.5,1.0,0.7,5,1227.555,959.477
0.5,0.5,1.0,0.7,6,1206.892,955.95
0.5,0.5,1.0,0.7,7,1217.661,962.791
0.5,0.5,1.0,0.7,8,1163.658,915.476
0.5,0.5,1.0,0.7,9,1182.706,937.458
0.5,0.5,1.0,0.8,0,1172.052,933.261
0.5,0.5,1.0,0.8,1,1173.809,941.655
0.5,0.5,1.0,0.8,2,1197.325,946.837
0.5,0.5,1.0,0.8,3,1208.278,956.561
0.5,0.5,1.0,0.8,4,1173.885,935.903
0.5,0.5,1.0,0.8,5,1231.11,974.603
0.5,0.5,1.0,0.8,6,1209.433,971.782
0.5,0.5,1.0,0.8,7,1216.506,972.456
0.5,0.5,1.0,0.8,8,1163.119,925.528
0.5,0.5,1.0,0.8,9,1186.837,951.652
0.5,0.5,1.0,0.9,0,1172.493,947.647
0.5,0.5,1.0,0.9,1,1172.815,950.723
0.5,0.5,1.0,0.9,2,1196.938,959.292
0.5,0.5,1.0,0.9,3,1202.559,965.626
0.5,0.5,1.0,0.9,4,1171.205,945.415
0.5,0.5,1.0,0.9,5,1227.091,985.254
0.5,0.5,1.0,0.9,6,1209.696,980.972
0.5,0.5,1.0,0.9,7,1217.967,982.256
0.5,0.5,1.0,0.9,8,1163.362,935.531
0.5,0.5,1.0,0.9,9,1184.865,963.242
0.5,0.8,0.0,0.1,0,1219.048,1121.371
0.5,0.8,0.0,0.1,1,1230.567,1140.467
0.5,0.8,0.0,0.1,2,1247.163,1145.973
0.5,0.8,0.0,0.1,3,1253.92,1144.172
